Model,DPO4104
Firmware Version,2.48

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-06,
Sample Interval,2e-10,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,0.1
Label,,
TIME,CH1,CH2
-9.80780e-06,0.00490625,-0.00239062
-9.80760e-06,0.00520313,-0.00220312
-9.80740e-06,0.0059375,-0.00109375
-9.80720e-06,0.00578125,-0.00151562
-9.80700e-06,0.00578125,-0.00171875
-9.80680e-06,0.00526563,-0.002
-9.80660e-06,0.00553125,-0.00179687
-9.80640e-06,0.00582813,-0.00135937
-9.80620e-06,0.005125,-0.00190625
-9.80600e-06,0.00515625,-0.00179687
-9.80580e-06,0.00553125,-0.00189062
-9.80560e-06,0.00534375,-0.00167187
-9.80540e-06,0.005125,-0.00171875
-9.80520e-06,0.00546875,-0.00164062
-9.80500e-06,0.00496875,-0.00176562
-9.80480e-06,0.00545313,-0.00109375
-9.80460e-06,0.00557813,-0.00107812
-9.80440e-06,0.00485937,-0.00189062
-9.80420e-06,0.00528125,-0.00109375
-9.80400e-06,0.00482813,-0.0015
-9.80380e-06,0.00529688,-0.00128125
-9.80360e-06,0.00559375,-0.00114062
-9.80340e-06,0.0049375,-0.00140625
-9.80320e-06,0.00526563,-0.00128125
-9.80300e-06,0.005125,-0.00153125
-9.80280e-06,0.00601563,-0.00084375
-9.80260e-06,0.00510937,-0.00123437
-9.80240e-06,0.00554688,-0.0015
-9.80220e-06,0.00526563,-0.00145312
-9.80200e-06,0.00507813,-0.00210937
-9.80180e-06,0.00567188,-0.00125
-9.80160e-06,0.00509375,-0.00173437
-9.80140e-06,0.00482813,-0.0023125
