Model,DPO4104
Firmware Version,2.48

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,Hz
Horizontal Scale,2e-06,,,,Horizontal Scale,2.5e+08
Sample Interval,2e-10,,,,Sample Interval,25000
Record Length,100000,,,,Record Length,100000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,0.1,0.1,1,,Vertical Scale,0.0005
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,MATH
-9.81900e-06,0.00503125,0.00175,3.87469,,5.82500e+06,2.71094e-05
-9.81880e-06,0.00503125,0.00214063,3.87594,,5.85000e+06,2.70312e-05
-9.81860e-06,0.00492187,0.00184375,3.87734,,5.87500e+06,2.67187e-05
-9.81840e-06,0.00560937,0.00195312,3.87828,,5.90000e+06,2.64062e-05
-9.81820e-06,0.00490625,0.0014375,3.87344,,5.92500e+06,0.000415078
-9.81800e-06,0.00484375,0.00195312,3.87516,,5.95000e+06,0.00080375
-9.81780e-06,0.00510937,0.00184375,3.87688,,5.97500e+06,0.00121164
-9.81760e-06,0.00507813,0.00201562,3.87844,,6.00000e+06,0.00161961
-9.81740e-06,0.00510937,0.00190625,3.87828,,6.02500e+06,0.00121437
-9.81720e-06,0.00485937,0.00153125,3.87531,,6.05000e+06,0.000809141
-9.81700e-06,0.00510937,0.00157813,3.87672,,6.07500e+06,0.000418281
-9.81680e-06,0.00467187,0.001375,3.87734,,6.10000e+06,2.74219e-05
-9.81660e-06,0.00504687,0.00176563,3.87781,,6.12500e+06,2.75781e-05
-9.81640e-06,0.0050625,0.00126563,3.87781,,6.15000e+06,2.77344e-05
-9.81620e-06,0.00498437,0.00148438,3.87734,,6.17500e+06,2.80469e-05
-9.81600e-06,0.00445313,0.00126563,3.87734,,6.20000e+06,2.83594e-05
-9.81580e-06,0.00498437,0.00145312,3.87688,,6.22500e+06,2.85156e-05
-9.81560e-06,0.00504687,0.0014375,3.87953,,6.25000e+06,2.875e-05
-9.81540e-06,0.00434375,0.00104688,3.87437,,6.27500e+06,2.875e-05
-9.81520e-06,0.00492187,0.00114063,3.87609,,6.30000e+06,2.88281e-05
-9.81500e-06,0.00459375,0.00128125,3.87781,,6.32500e+06,2.90625e-05
-9.81480e-06,0.00473437,0.0013125,3.87906,,6.35000e+06,2.92969e-05
-9.81460e-06,0.00504687,0.00167188,3.87891,,6.37500e+06,2.96875e-05
-9.81440e-06,0.00475,0.00134375,3.87547,,6.40000e+06,3.00781e-05
-9.81420e-06,0.00440625,0.00134375,3.87906,,6.42500e+06,2.99219e-05
-9.81400e-06,0.00446875,0.00126563,3.87641,,6.45000e+06,2.97656e-05
-9.81380e-06,0.00501562,0.00148438,3.8775,,6.47500e+06,3.03125e-05
-9.81360e-06,0.00460937,0.00117188,3.87578,,6.50000e+06,3.08594e-05
-9.81340e-06,0.0043125,0.00109375,3.875,,6.52500e+06,3.15625e-05
-9.81320e-06,0.004125,0.00110937,3.87656,,6.55000e+06,3.22656e-05
-9.81300e-06,0.00403125,0.0008125,3.87453,,6.57500e+06,3.17188e-05
-9.81280e-06,0.004625,0.0013125,3.87766,,6.60000e+06,3.125e-05
-9.81260e-06,0.004375,0.0008125,3.87594,,6.62500e+06,3.125e-05
-9.81240e-06,0.0039375,0.00065625,3.87609,,6.65000e+06,3.125e-05
-9.81220e-06,0.004,0.000953125,3.87703,,6.67500e+06,3.20312e-05
-9.81200e-06,0.0050625,0.00139063,3.87891,,6.70000e+06,3.28125e-05
-9.81180e-06,0.00451562,0.000828125,3.8725,,6.72500e+06,3.27344e-05
-9.81160e-06,0.00414062,0.000734375,3.87359,,6.75000e+06,3.26562e-05
-9.81140e-06,0.0043125,0.00110937,3.87437,,6.77500e+06,3.21094e-05
-9.81120e-06,0.00453125,0.00084375,3.87609,,6.80000e+06,3.16406e-05
-9.81100e-06,0.00473437,0.000921875,3.87828,,6.82500e+06,3.14844e-05
-9.81080e-06,0.00471875,0.00090625,3.87672,,6.85000e+06,3.14062e-05
-9.81060e-06,0.0045,0.000625,3.87547,,6.87500e+06,3.07031e-05
-9.81040e-06,0.00464062,0.000796875,3.87703,,6.90000e+06,3.00781e-05
-9.81020e-06,0.00476562,0.00145312,3.87719,,6.92500e+06,0.000222109
-9.81000e-06,0.004625,0.00101563,3.87375,,6.95000e+06,0.000414141
-9.80980e-06,0.00434375,0.0005,3.87234,,6.97500e+06,0.000608828
-9.80960e-06,0.00426562,0.000484375,3.87625,,7.00000e+06,0.000803516
-9.80940e-06,0.00453125,0.00075,3.87547,,7.02500e+06,0.000611328
-9.80920e-06,0.00459375,0.001125,3.87719,,7.05000e+06,0.000419141
-9.80900e-06,0.00389062,0.0005625,3.87328,,7.07500e+06,0.000226328
-9.80880e-06,0.00415625,0.000859375,3.87406,,7.10000e+06,3.35156e-05
-9.80860e-06,0.00426562,0.00040625,3.87734,,7.12500e+06,3.36719e-05
-9.80840e-06,0.00451562,0.000875,3.87609,,7.15000e+06,3.39063e-05
-9.80820e-06,0.00498437,0.00114063,3.87594,,7.17500e+06,3.32031e-05
-9.80800e-06,0.00440625,0.00078125,3.87234,,7.20000e+06,3.25e-05
-9.80780e-06,0.004375,0.000390625,3.87219,,7.22500e+06,3.22656e-05
