Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,1
Label,,,
TIME,CH1,CH2,CH3
-9.77720e-06,0.00492187,-0.000671875,0.812344
-9.77700e-06,0.00517187,-0.000671875,0.81625
-9.77680e-06,0.00564062,0.0004375,0.824219
-9.77660e-06,0.00485937,-0.0003125,0.821562
-9.77640e-06,0.00523437,-0.000328125,0.81875
-9.77620e-06,0.00496875,-0.0005625,0.817812
-9.77600e-06,0.00501562,-0.0005,0.815625
-9.77580e-06,0.00573437,-0.00028125,0.820469
-9.77560e-06,0.005375,-0.000859375,0.8125
-9.77540e-06,0.005125,-0.00046875,0.816719
-9.77520e-06,0.00526562,-0.000390625,0.815781
-9.77500e-06,0.00565625,-0.000546875,0.81875
-9.77480e-06,0.00520313,-0.0001875,0.819063
-9.77460e-06,0.00501562,-0.0003125,0.819531
-9.77440e-06,0.00521875,-0.000453125,0.815469
-9.77420e-06,0.00523437,-0.00028125,0.82
-9.77400e-06,0.00532813,0.00040625,0.823906
-9.77380e-06,0.00476562,-0.0008125,0.812031
-9.77360e-06,0.0051875,-0.000359375,0.815625
-9.77340e-06,0.00539062,-0.000390625,0.815156
-9.77320e-06,0.00532813,-0.00028125,0.815312
-9.77300e-06,0.00542187,0.0004375,0.820937
-9.77280e-06,0.00510937,-0.000125,0.815625
-9.77260e-06,0.00576562,0,0.820156
-9.77240e-06,0.00526562,-3.125e-05,0.817031
-9.77220e-06,0.0054375,0.000234375,0.822812
-9.77200e-06,0.00510937,-0.000453125,0.81375
-9.77180e-06,0.00501562,-1.5625e-05,0.819531
-9.77160e-06,0.00520313,-1.5625e-05,0.816562
-9.77140e-06,0.00498437,-0.00021875,0.818594
-9.77120e-06,0.00548437,-6.25e-05,0.816875
-9.77100e-06,0.0050625,-0.000109375,0.819219
-9.77080e-06,0.00520313,-0.00071875,0.81125
-9.77060e-06,0.00517187,-0.000203125,0.816562
-9.77040e-06,0.00554687,0.000609375,0.825937
-9.77020e-06,0.00514062,3.125e-05,0.819063
-9.77000e-06,0.00525,0.000234375,0.817187
-9.76980e-06,0.005125,-0.000109375,0.81375
