Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,2
Label,,,
TIME,CH1,CH2,CH3
-9.88280e-06,0.00535937,0.00257812,6.05625
-9.88260e-06,0.00548438,0.002375,6.045
-9.88240e-06,0.00573438,0.00220313,6.04063
-9.88220e-06,0.00614063,0.0025,6.04531
-9.88200e-06,0.00626563,0.00232813,6.06125
-9.88180e-06,0.0063125,0.00245313,6.05438
-9.88160e-06,0.00610938,0.00260938,6.04563
-9.88140e-06,0.00609375,0.00307812,6.03375
-9.88120e-06,0.00582813,0.00290625,6.03219
-9.88100e-06,0.0065625,0.0031875,6.03969
-9.88080e-06,0.00573438,0.00273438,6.04406
-9.88060e-06,0.005875,0.0031875,6.04406
-9.88040e-06,0.0063125,0.00326562,6.03375
-9.88020e-06,0.0066875,0.00351563,6.03031
-9.88000e-06,0.00665625,0.00353125,6.03031
-9.87980e-06,0.00670313,0.00351563,6.02344
-9.87960e-06,0.00732813,0.00353125,6.03125
-9.87940e-06,0.00690625,0.00371875,6.0375
-9.87920e-06,0.0071875,0.0043125,6.04344
-9.87900e-06,0.00698438,0.00417187,6.03844
-9.87880e-06,0.00729688,0.00373438,6.03094
-9.87860e-06,0.00734375,0.00414063,6.03188
-9.87840e-06,0.00754688,0.00403125,6.0375
-9.87820e-06,0.0075625,0.00435937,6.02875
-9.87800e-06,0.00746875,0.0045625,6.03656
-9.87780e-06,0.00779688,0.00489062,6.04031
-9.87760e-06,0.00795313,0.00451563,6.04063
-9.87740e-06,0.0079375,0.004875,6.05031
-9.87720e-06,0.00770313,0.00460938,6.04875
-9.87700e-06,0.008,0.004875,6.04156
-9.87680e-06,0.00795313,0.00534375,6.02969
-9.87660e-06,0.00817188,0.005,6.03094
-9.87640e-06,0.00842188,0.00521875,6.03281
-9.87620e-06,0.0086875,0.00565625,6.03719
-9.87600e-06,0.00846875,0.00576562,6.04563
-9.87580e-06,0.008875,0.00567187,6.0425
-9.87560e-06,0.00882813,0.00557812,6.0375
-9.87540e-06,0.00864063,0.0061875,6.04281
-9.87520e-06,0.0085625,0.00621875,6.065
-9.87500e-06,0.0088125,0.0061875,6.06062
-9.87480e-06,0.00879688,0.00601563,6.05906
-9.87460e-06,0.0090625,0.00670313,6.05813
-9.87440e-06,0.00871875,0.00623438,6.05281
-9.87420e-06,0.00884375,0.007125,6.0625
-9.87400e-06,0.00915625,0.0071875,6.07125
-9.87380e-06,0.00903125,0.0071875,6.07313
-9.87360e-06,0.00910938,0.00678125,6.07437
-9.87340e-06,0.00920313,0.00707812,6.06188
-9.87320e-06,0.00926562,0.00745313,6.06344
-9.87300e-06,0.00923438,0.00740625,6.06281
