time	V_in
9.03466945258865550E-8	-1.82819850279297258E-2
9.04012348606295646E-8	-1.84419832757587021E-2
9.04573585389331569E-8	-1.86724077829270074E-2
9.05575889245259269E-8	-1.92045832253182924E-2
9.06091666973876642E-8	-1.95561400544798647E-2
9.06635092805626819E-8	-1.99980849446452336E-2
9.07244072946286018E-8	-2.05260402911397932E-2
9.08177238224054406E-8	-2.13776507964902374E-2
9.08707688061934604E-8	-2.18683781467486638E-2
9.09248688228905877E-8	-2.23571318221958037E-2
9.09936276844462455E-8	-2.29992252699675959E-2
9.10684801516799247E-8	-2.36741448148231370E-2
9.11189916208849837E-8	-2.40782624565633885E-2
9.11739220490723135E-8	-2.44542500447338096E-2
9.12425716021375344E-8	-2.48368837765937212E-2
9.13149412747421785E-8	-2.51537134940392626E-2
9.13654870620356974E-8	-2.53262331193943790E-2
9.14195831421901595E-8	-2.54518797244868011E-2
9.15060693918593948E-8	-2.55342740033252991E-2
9.15996415359879990E-8	-2.55136403359421893E-2
9.16543104993267654E-8	-2.54499998176957520E-2
9.17108594232916907E-8	-2.53306775478030133E-2
9.18032116663621700E-8	-2.50503225875623770E-2
9.18534792654446974E-8	-2.48615103609785049E-2
9.19071609560445069E-8	-2.46461200039595374E-2
9.19669229060503213E-8	-2.44251388891859289E-2
9.20665646722035369E-8	-2.41404433803702734E-2
9.21200010451947371E-8	-2.40235862142022683E-2
9.21742938602931261E-8	-2.39482553165647927E-2
9.22411038032618080E-8	-2.39176071431343074E-2
9.23152464890477020E-8	-2.39635233520683855E-2
9.23655850488062136E-8	-2.40521372816945345E-2
9.24199284631558626E-8	-2.42028058446854599E-2
9.25133855018340867E-8	-2.45671327777869397E-2
9.26115871897007992E-8	-2.50589429162734412E-2
9.26670204798151431E-8	-2.53466948110732471E-2
9.27257962872907271E-8	-2.56506152843894242E-2
9.28196288578358164E-8	-2.61386084869920410E-2
9.28717572491417798E-8	-2.64296991014055305E-2
9.29265506513257655E-8	-2.67466189248574571E-2
9.29941706073410757E-8	-2.71575882823943449E-2
9.30637657923497486E-8	-2.75650068790424729E-2
9.31139826973781481E-8	-2.78266282677495180E-2
9.31678452093533416E-8	-2.80700882269320662E-2
9.32363249308634146E-8	-2.83423146506836510E-2
9.33205107437204084E-8	-2.86189288674516051E-2
9.33720616561575056E-8	-2.87642222288129545E-2
9.34271174756104372E-8	-2.88912321056806354E-2
9.34958957895669052E-8	-2.90076688611102362E-2
9.35969134994223495E-8	-2.90587336470313806E-2
9.36514481366725704E-8	-2.90142677844845576E-2
9.37074755811768156E-8	-2.89388331458190651E-2
9.38059392022728922E-8	-2.87683607389260354E-2
9.38574878242352995E-8	-2.86907724879227155E-2
9.39114786344369179E-8	-2.86179627468671161E-2
9.39722930435630310E-8	-2.85445157397641358E-2
9.40617860301020059E-8	-2.84199357470664626E-2
9.41137108587064475E-8	-2.83335211793710684E-2
9.41674773254121966E-8	-2.82398879592091268E-2
9.42328804112039364E-8	-2.81302936023006867E-2
9.43178860317964229E-8	-2.80216188332699989E-2
9.43692343440364390E-8	-2.79923950554887835E-2
9.44239764097713064E-8	-2.79950738864173720E-2
9.44913821984919799E-8	-2.80245807693322835E-2
9.45916160032461129E-8	-2.81069047026627539E-2
9.46459030441544868E-8	-2.81781476905370543E-2
9.47017371983870859E-8	-2.82827925791683210E-2
9.48039442582031455E-8	-2.85549987267693917E-2
9.48559083089132393E-8	-2.87246162622299739E-2
9.49099424236673350E-8	-2.88970926607913947E-2
9.49698157911602792E-8	-2.90721574192782617E-2
9.50275714720754294E-8	-2.92230380616203611E-2
9.50719770397135377E-8	-2.93283728842600233E-2
9.51200607026578204E-8	-2.94450836984679576E-2
9.51781848054380752E-8	-2.95991631978294523E-2
9.52508677307048579E-8	-2.98047948739934609E-2
9.53183843500714545E-8	-3.00154527189610443E-2
9.53693887219701608E-8	-3.01696153154856317E-2
9.54236388152492765E-8	-3.03185875492246693E-2
9.54963792938324829E-8	-3.04606177448222759E-2
9.55981611957052380E-8	-3.05717574167734929E-2
9.56523475944521451E-8	-3.05883857720108354E-2
9.57088946251673534E-8	-3.05685367074428127E-2
9.58098113250236416E-8	-3.04888046710872818E-2
9.58612094252063152E-8	-3.04130934553039722E-2
9.59159515358861192E-8	-3.03118022145136123E-2
9.59770794819391071E-8	-3.01658258875656893E-2
9.60543123500129425E-8	-2.99669133873574856E-2
9.61047984167817759E-8	-2.98309154379632302E-2
9.61571731727787338E-8	-2.96859756232002336E-2
9.62214315168878542E-8	-2.94928295050469824E-2
9.62778087439703256E-8	-2.93239302456711481E-2
9.63194617622237814E-8	-2.91955472468620947E-2
9.63690157999083041E-8	-2.90439761998963686E-2
